親パス,容量,個数
\\gfs\Shares\00_全社共有\04_office365,2138361,5
\\gfs\Shares\00_全社共有\総務,567581,4
\\gfs\Shares\00_全社共有\06_デバイス管理,31336738,26
\\gfs\Shares\00_全社共有\06_デバイス管理\LspCatMacAgent.pkg,7705323,19
\\gfs\Shares\00_全社共有\永年勤続表彰,16388,2
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年7月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年8月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年10月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年11月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年12月,0,0
\\gfs\Shares\00_全社共有\05_printer,3728955,4
\\gfs\Shares\00_全社共有\05_printer\.TemporaryItems,4096,1
\\gfs\Shares\00_全社共有\05_printer\old,1361162,1
\\gfs\Shares\00_全社共有\社員総会,1189271259,40
\\gfs\Shares\00_全社共有\社員総会\2010,142674,4
\\gfs\Shares\00_全社共有\社員総会\2011,12892559,5
\\gfs\Shares\00_全社共有\社員総会\2012,30867027,8
\\gfs\Shares\00_全社共有\社員総会\2013,777095,5
\\gfs\Shares\00_全社共有\社員総会\2014,4092893,6
\\gfs\Shares\00_全社共有\社員総会\2015,1134859656,8
\\gfs\Shares\00_全社共有\社員総会\2016,5625015,2
\\gfs\Shares\00_全社共有\会社案内,4631452577,196
\\gfs\Shares\00_全社共有\会社案内\アンティル作成,3678904,3
\\gfs\Shares\00_全社共有\会社案内\セミナー用,2504769,6
\\gfs\Shares\00_全社共有\Target,609525566,98
\\gfs\Shares\00_全社共有\Target\開催概要,1289613,2
\\gfs\Shares\00_全社共有\会社案内\過去,776897612,87
\\gfs\Shares\00_全社共有\会社案内\最新版,3848307639,95
\\gfs\Shares\00_全社共有\Target\やり取り専用,608216493,94
\\gfs\Shares\00_全社共有\websocket-sharp,17472794,333
\\gfs\Shares\00_全社共有\通信端末金額画像,2413181,38
\\gfs\Shares\00_全社共有\通信端末金額画像\古めの端末,1573578,17
\\gfs\Shares\00_全社共有\通信端末金額画像\検証端末修理申込書,170256,4
\\gfs\Shares\00_全社共有\全社朝礼,1872207620,319
\\gfs\Shares\00_全社共有\全社朝礼\FY2013,16577999,9
\\gfs\Shares\00_全社共有\全社朝礼\FY2014,938892697,90
\\gfs\Shares\00_全社共有\websocket-sharp\.git,16035725,87
\\gfs\Shares\00_全社共有\websocket-sharp\Example,30804,10
\\gfs\Shares\00_全社共有\全社朝礼\FY2015,243075345,95
\\gfs\Shares\00_全社共有\websocket-sharp\Example1,46887,16
\\gfs\Shares\00_全社共有\全社朝礼\FY2016,673434247,122
\\gfs\Shares\00_全社共有\websocket-sharp\Example2,34913,12
\\gfs\Shares\00_全社共有\websocket-sharp\Example3,54011,18
\\gfs\Shares\00_全社共有\websocket-sharp\websocket-sharp,1179546,170
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼,595766550,255
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼,253968161,92
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2014Q4,33964301,8
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2014Q3,31300472,15
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2015Q1,6084020,9
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼\2014,8854685,13
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2015Q2,19652923,9
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2015Q3,12010687,8
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2015Q4,19134190,8
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2016Q1,110181809,10
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2016Q2,7272283,11
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2016Q3,9398555,8
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼\2016Q4,4946389,4
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼\2015,506940694,130
\\gfs\Shares\00_全社共有\Study,8941951407,106
\\gfs\Shares\00_全社共有\gloopsit,9044744477,745
\\gfs\Shares\00_全社共有\gloopsit\02_driver,280544360,1
\\gfs\Shares\00_全社共有\gloopsit\03_temp,0,0
\\gfs\Shares\00_全社共有\Study\2013,10344192,20
\\gfs\Shares\00_全社共有\Study\2014,7095448,10
\\gfs\Shares\00_全社共有\.recycle,24102821,96
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼\2016,77826852,95
\\gfs\Shares\00_全社共有\.recycle\Texas Rangers,0,0
\\gfs\Shares\00_全社共有\Study\2015,8741840482,13
\\gfs\Shares\00_全社共有\.recycle\tool,0,0
\\gfs\Shares\00_全社共有\Study\facebookセミナー資料_20150324,112264257,4
\\gfs\Shares\00_全社共有\gloopsit\01_tool,52402033,35
\\gfs\Shares\00_全社共有\.recycle\★★20131030ハロウィーン★★,0,0
\\gfs\Shares\00_全社共有\Study\gLT,104026,4
\\gfs\Shares\00_全社共有\.recycle\法務室（全社員共有）,0,0
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼\gloops開発スキーム,2129979,15
\\gfs\Shares\00_全社共有\.recycle\名刺デザイン公募,0,0
\\gfs\Shares\00_全社共有\.recycle\04_office365,0,0
\\gfs\Shares\00_全社共有\Study\D2CRセミナー資料_20150610,13610210,11
\\gfs\Shares\00_全社共有\.recycle\TGS,0,0
\\gfs\Shares\00_全社共有\.recycle\gloopsGate修了コメント,0,0
\\gfs\Shares\00_全社共有\.recycle\AIU,0,0
\\gfs\Shares\00_全社共有\.recycle\受渡フォルダ,0,0
\\gfs\Shares\00_全社共有\.recycle\壮行会,0,0
\\gfs\Shares\00_全社共有\.recycle\広報部,0,0
\\gfs\Shares\00_全社共有\Study\2016,10129732,12
\\gfs\Shares\00_全社共有\.recycle\新しいフォルダー2,0,0
\\gfs\Shares\00_全社共有\.recycle\Printer Driver,0,0
\\gfs\Shares\00_全社共有\Study\MS_Workshop_2016,6210199,4
\\gfs\Shares\00_全社共有\.recycle\gLT,0,0
\\gfs\Shares\00_全社共有\.recycle\02_Windows Intune - コピー,0,0
\\gfs\Shares\00_全社共有\.recycle\入社オリエンテーション資料,0,0
\\gfs\Shares\00_全社共有\.recycle\Avast_License2012,0,0
\\gfs\Shares\00_全社共有\.recycle\gloopsStudy写真,0,0
\\gfs\Shares\00_全社共有\.recycle\Avast6IS - コピー,0,0
\\gfs\Shares\00_全社共有\.recycle\SocialGameInfo,0,0
\\gfs\Shares\00_全社共有\.recycle\会社案内,0,0
\\gfs\Shares\00_全社共有\.recycle\gloops_イベント,0,0
\\gfs\Shares\00_全社共有\.recycle\03_ActiveDirectory,0,0
\\gfs\Shares\00_全社共有\.recycle\サンフランシスコ20130331,0,0
\\gfs\Shares\00_全社共有\.recycle\20130410,0,0
\\gfs\Shares\00_全社共有\.recycle\Avast_uninst,0,0
\\gfs\Shares\00_全社共有\.recycle\長期休暇体制,0,0
\\gfs\Shares\00_全社共有\.recycle\AHST,0,0
\\gfs\Shares\00_全社共有\.recycle\DeNA_study,0,0
\\gfs\Shares\00_全社共有\.recycle\社員総会,0,0
\\gfs\Shares\00_全社共有\.recycle\Study,0,0
\\gfs\Shares\00_全社共有\Study\Cavos_Study,40338521,26
\\gfs\Shares\00_全社共有\.recycle\安藤写真,0,0
\\gfs\Shares\00_全社共有\.recycle\研修資料,0,0
\\gfs\Shares\00_全社共有\.recycle\フットサル,0,0
\\gfs\Shares\00_全社共有\.recycle\マニュアル,0,0
\\gfs\Shares\00_全社共有\.recycle\山本さん,0,0
\\gfs\Shares\00_全社共有\PR,12228304,3
\\gfs\Shares\00_全社共有\.recycle\DEMO,0,0
\\gfs\Shares\00_全社共有\PR\東京ゲームショウ,12218060,1
\\gfs\Shares\00_全社共有\.recycle\経営戦略_共有,0,0
\\gfs\Shares\00_全社共有\.recycle\_Windows Intune,0,0
\\gfs\Shares\00_全社共有\.recycle\1000万人キャンペーン,0,0
\\gfs\Shares\00_全社共有\.recycle\FY2014新体制,0,0
\\gfs\Shares\00_全社共有\.recycle\Avast6IS,0,0
\\gfs\Shares\00_全社共有\.recycle\利根川さん,0,0
\\gfs\Shares\00_全社共有\.recycle\02_Windows Intune,0,0
\\gfs\Shares\00_全社共有\.recycle\.TemporaryItems,0,0
\\gfs\Shares\00_全社共有\.recycle\総務to広報,0,0
\\gfs\Shares\00_全社共有\gloopsit\00_error,8709958592,701
\\gfs\Shares\00_全社共有\.TemporaryItems,0,0
\\gfs\Shares\00_全社共有\.TemporaryItems\folders.501,0,0
\\gfs\Shares\00_全社共有\.TemporaryItems\folders.502,0,0
\\gfs\Shares\00_全社共有\ProjectRebirth,7387357911,1200
\\gfs\Shares\00_全社共有\ProjectRebirth\会議議事録,1118300030,258
\\gfs\Shares\00_全社共有\ProjectRebirth\★MTG見学ルール,4476666,8
\\gfs\Shares\00_全社共有\ProjectRebirth\顔写真座席表ブラウザ版プラグイン,2991988,4
\\gfs\Shares\00_全社共有\ProjectRebirth\ぐるフェス,6261523175,925
\\gfs\Shares\00_全社共有\広報部,366078116209,48114
\\gfs\Shares\00_全社共有\広報部\峠チャンネル,3392877,1
\\gfs\Shares\00_全社共有\広報部\160801_wbs,152425371,2
\\gfs\Shares\00_全社共有\広報部\161019_ハロウィン写真,1676201,18
\\gfs\Shares\00_全社共有\広報部\NxJ Daily Clipping,26568394,156
\\gfs\Shares\00_全社共有\広報部\Studio_logo,7524416,50
\\gfs\Shares\00_全社共有\広報部\photo,268635892,68
\\gfs\Shares\00_全社共有\広報部\【bcard】,120198733,345
\\gfs\Shares\00_全社共有\広報部\10周年,1271084549,554
\\gfs\Shares\00_全社共有\広報部\bk,360127357032,42698
\\gfs\Shares\00_全社共有\受渡フォルダ,15771353322,2442
\\gfs\Shares\00_全社共有\受渡フォルダ\東館,0,0
\\gfs\Shares\00_全社共有\受渡フォルダ\真島,1414797,6
\\gfs\Shares\00_全社共有\受渡フォルダ\2016_BBQ,249259008,59
\\gfs\Shares\00_全社共有\受渡フォルダ\採用,7084031,29
\\gfs\Shares\00_全社共有\受渡フォルダ\まんどうさん,277469184,5
\\gfs\Shares\00_全社共有\受渡フォルダ\20150717_nakajima,37403972,22
\\gfs\Shares\00_全社共有\受渡フォルダ\上田さん,2968852041,211
\\gfs\Shares\00_全社共有\受渡フォルダ\峠玲奈,2376270964,631
\\gfs\Shares\00_全社共有\受渡フォルダ\_old,9849479856,1471
\\gfs\Shares\00_全社共有\法務室（全社員共有）,7650734,25
\\gfs\Shares\00_全社共有\法務室（全社員共有）\20121120_コンプガチャstudy,1398272,3
\\gfs\Shares\00_全社共有\法務室（全社員共有）\法律セミナー資料,1299349,3
\\gfs\Shares\00_全社共有\法務室（全社員共有）\依頼書format,103838,4
\\gfs\Shares\00_全社共有\法務室（全社員共有）\参考資料,4834935,13
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報,72961887248,73872
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\細谷　一時,25864175,8
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\◆過去分 Webレポート,77049335,28
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\【施策別】ログインボーナス,653554,2
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\Spicemart_中国マーケットレポート,73870782,6
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\【クリッピング】競合施策記事,744847,8
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\Spicemart_レポート,518999754,11
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\◆競合タイトルCM_周年キャンペーン資料,67992271,10
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\【レポート】Browser Report,23517586,62
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\インフィニット・ストラトス　ブレイジング・メモリー,13624872,62
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\灼眼のシャナ 壮絶バトル,45220807,161
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\ソードアート・オンラインプログレス・リンク,11328719,39
\\gfs\Shares\00_全社共有\_old,20766289727,421353
\\gfs\Shares\00_全社共有\_old\小説,11860500,6
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\【テンプレート】,103370993,67
\\gfs\Shares\00_全社共有\_old\DeNA_study,17296160,3
\\gfs\Shares\00_全社共有\_old\板垣,308952,4
\\gfs\Shares\00_全社共有\_old\2014.04.14_社外Study(Google),11467110400,5
\\gfs\Shares\00_全社共有\_old\CEミーティング,8524972,23
\\gfs\Shares\00_全社共有\_old\サンフランシスコ20130331,1708090694,706
\\gfs\Shares\00_全社共有\_old\FY2014新体制,61996,2
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\◆競合タイトル_各種調査,1313993228,115
\\gfs\Shares\00_全社共有\_old\ITサービスリリース,911249,5
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\天空のクリスタリア,103977372,158
\\gfs\Shares\00_全社共有\_old\PMO,16208683,34
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\アイドルマスターSIDE M,112173744,176
\\gfs\Shares\00_全社共有\_old\マニュアル,5249457,25
\\gfs\Shares\00_全社共有\_old\採用G,33841493,1
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\神獄のヴァルハラゲート,728514516,830
\\gfs\Shares\00_全社共有\_old\申請書類,157817,8
\\gfs\Shares\00_全社共有\_old\組織図,521953,5
\\gfs\Shares\00_全社共有\_old\長期休暇体制,131879,8
\\gfs\Shares\00_全社共有\_old\System,24965057,4
\\gfs\Shares\00_全社共有\_old\00_wifi,3938,1
\\gfs\Shares\00_全社共有\_old\test,16007371,10
\\gfs\Shares\00_全社共有\_old\Intune,18795878,7
\\gfs\Shares\00_全社共有\_old\Avast_uninst,325413,2
\\gfs\Shares\00_全社共有\_old\02_Mac Trend micro Security,781163,8
\\gfs\Shares\00_全社共有\_old\BenQ_MX760,404405597,200
\\gfs\Shares\00_全社共有\_old\tool,104042761,150
\\gfs\Shares\00_全社共有\_old\01_software,44736211,10
\\gfs\Shares\00_全社共有\_old\経営戦略_共有,65274398,134
\\gfs\Shares\00_全社共有\_old\03_ActiveDirectory,1674953,9
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\イグドラシル戦記,60079202,116
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\【レポート】Native Report,535046657,885
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\ギャングソウル 全国制覇,232469323,258
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\◆スポット_競合タイトル,349198990,574
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\◆休日分一時フォルダ,1436204228,1571
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\GRANBLUE FANTASY,18797602363,7671
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\ガールフレンド（仮）,491011746,712
\\gfs\Shares\00_全社共有\_old\Printer Driver,413844781,1274
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\ガンダムカードコレクション,1312111695,2318
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\◆過去ログ_競合タイトル,709955549,1987
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\アヴァロンの騎士,1996417982,2220
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\ナイツオブグローリー,16277463099,8291
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\神撃のバハムート,9324398095,14656
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\ONE PIECE グランドコレクション,5557439748,15457
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報\アイドルマスターシンデレラガールズ,12772191897,15416
\\gfs\Shares\00_全社共有\_old\svn_201108,5370298119,367544
\\gfs\Shares\00_全社共有\_old\paint,200411,4
\\gfs\Shares\00_全社共有\photo&Video,133665232919,13027
\\gfs\Shares\00_全社共有\photo&Video\red_バトル動画,56654388,2
\\gfs\Shares\00_全社共有\photo&Video\池田さんおめでとう20141224,3170389,20
\\gfs\Shares\00_全社共有\photo&Video\??2014ハロウィン装飾画像募集??,101819,6
\\gfs\Shares\00_全社共有\photo&Video\シンガポールオフィス画像,3539743,17
\\gfs\Shares\00_全社共有\photo&Video\20141207_忘年会の二次会,78762411,81
\\gfs\Shares\00_全社共有\photo&Video\20161113_森ビルカップ2016,437913845,169
\\gfs\Shares\00_全社共有\photo&Video\20160311_GameJam,137870472,76
\\gfs\Shares\00_全社共有\photo&Video\KPITV用画像,16488049,23
\\gfs\Shares\00_全社共有\photo&Video\Texas Rangers,35915500,57
\\gfs\Shares\00_全社共有\photo&Video\red4周年のお祝い_20160531,70077827,7
\\gfs\Shares\00_全社共有\photo&Video\Relaxation Day画像,0,0
\\gfs\Shares\00_全社共有\photo&Video\20150821_カキ氷大会,98307312,28
\\gfs\Shares\00_全社共有\photo&Video\20160708_社員総会,1114684712,312
\\gfs\Shares\00_全社共有\photo&Video\20160719_GameJam,342969939,98
\\gfs\Shares\00_全社共有\photo&Video\過去写真,4744999728,283
\\gfs\Shares\00_全社共有\photo&Video\台湾,1101959096,27
\\gfs\Shares\00_全社共有\photo&Video\ベトナムオフィス画像,36460141,36
\\gfs\Shares\00_全社共有\photo&Video\★☆20151022_ハロウィン写真☆★,1212457795,372
\\gfs\Shares\00_全社共有\photo&Video\20160401_入社式,822982065,256
\\gfs\Shares\00_全社共有\photo&Video\TGS2104,655983278,137
\\gfs\Shares\00_全社共有\photo&Video\じゃんけん部,555188349,21
\\gfs\Shares\00_全社共有\photo&Video\20150320_ビジネスマナー研修,6002409192,70
\\gfs\Shares\00_全社共有\photo&Video\SocialGameInfo,982105337,412
\\gfs\Shares\00_全社共有\photo&Video\red_20160516,56957627,40
\\gfs\Shares\00_全社共有\photo&Video\20131030ハロウィーン - コピー,1153532832,447
\\gfs\Shares\00_全社共有\photo&Video\niconico,6450912760,9
\\gfs\Shares\00_全社共有\photo&Video\20131030ハロウィーン,1153514400,447
\\gfs\Shares\00_全社共有\photo&Video\20141031_gloopsハロウィン♪,2667302554,355
\\gfs\Shares\00_全社共有\photo&Video\壮行会,3767671235,114
\\gfs\Shares\00_全社共有\photo&Video\フットサル,1034803249,520
\\gfs\Shares\00_全社共有\photo&Video\社員総会,9858800600,390
\\gfs\Shares\00_全社共有\photo&Video\クリッピング,5034510,20
\\gfs\Shares\00_全社共有\photo&Video\音源素材,1182577140,37
\\gfs\Shares\00_全社共有\photo&Video\DEMO,1552365230,25
\\gfs\Shares\00_全社共有\photo&Video\交換所,8816453782,94
\\gfs\Shares\00_全社共有\photo&Video\20150917_TGS2015,3081760511,574
\\gfs\Shares\00_全社共有\photo&Video\【2015年下期素材】,41825515032,800
\\gfs\Shares\00_全社共有\photo&Video\ATT動画・画像,9052290329,1348
\\gfs\Shares\00_全社共有\photo&Video\gloops_イベント,21998944141,5280
\\gfs\Shares\00_全社共有\方針発表資料,26636209,66
\\gfs\Shares\00_全社共有\方針発表資料\FY2014,7271062,13
\\gfs\Shares\00_全社共有\方針発表資料\FY2015,12217543,23
\\gfs\Shares\00_全社共有\方針発表資料\FY2016,7133264,28
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト,1726437606,15
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト\仮想マシン例外設定ツール,599608,1
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト\Mac,48792858,5
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト\Windows,1677032848,7
